"",,,MW,MW,MW,MW,MW,MW,MW,MW
"",Week Start,Week,"RSAContractedForecast","ResidualForecast","AvailableDispatchableCapacity","AvailableCapacity (LessOR and UA)","PlannedMaintenance","UnplannedOutageAssumption (UA)","PlannedRisk Level(-14200 MW)","Likely RiskSenario(-16200 MW)"
"",22-Mar-21,12,31514,30179,42333,28133,6318,12000,-2046,-4046
"",29-Mar-21,13,30299,29177,42962,28762,5689,12000,-416,-2416
"",05-Apr-21,14,30209,29099,42328,29128,6323,11000,29,-1971
"",12-Apr-21,15,30080,28970,42431,29231,6220,11000,261,-1739
"",19-Apr-21,16,30393,29283,43686,30486,4965,11000,1202,-798
"",26-Apr-21,17,29992,28882,43772,30572,4879,11000,1690,-310
"",03-May-21,18,30874,29826,43491,30291,5160,11000,465,-1535
"",10-May-21,19,31200,30151,46936,33736,1715,11000,3584,1584
"",17-May-21,20,31537,30489,47156,33956,1495,11000,3467,1467
"",24-May-21,21,32579,31531,47096,33896,1555,11000,2365,365
"",31-May-21,22,32038,30989,46214,33014,2437,11000,2024,24
"",07-Jun-21,23,32493,31331,44899,31699,3752,11000,367,-1633
"",14-Jun-21,24,32135,30973,46096,32896,2555,11000,1922,-78
"",21-Jun-21,25,33970,32809,45531,32331,3120,11000,-478,-2478
"",28-Jun-21,26,33884,32722,45734,32534,2917,11000,-188,-2188
"",05-Jul-21,27,33818,32613,45544,32344,3107,11000,-269,-2269
"",12-Jul-21,28,33818,32613,45544,32344,3107,11000,-269,-2269
"",19-Jul-21,29,34013,32808,45875,32675,2776,11000,-133,-2133
"",26-Jul-21,30,33906,32701,45544,32344,3107,11000,-358,-2358
"",02-Aug-21,31,33119,31572,44374,31174,4277,11000,-399,-2399
"",09-Aug-21,32,32535,30988,44184,30984,4467,11000,-5,-2005
"",16-Aug-21,33,32388,30841,43973,30773,4678,11000,-69,-2069
"",23-Aug-21,34,31882,30335,43533,30333,5118,11000,-2,-2002
"",30-Aug-21,35,32141,30594,43688,30488,4963,11000,-107,-2107
"",06-Sep-21,36,31921,30317,43653,30453,4998,11000,135,-1865
"",13-Sep-21,37,31832,30228,43078,29878,5573,11000,-351,-2351
"",20-Sep-21,38,31721,30117,43078,29878,5573,11000,-239,-2239
"",27-Sep-21,39,31498,29895,43059,29859,5592,11000,-36,-2036
"",04-Oct-21,40,32009,30007,42964,29764,5687,11000,-244,-2244
"",11-Oct-21,41,31732,29782,42834,29634,5817,11000,-148,-2148
"",18-Oct-21,42,31714,29763,42834,29634,5817,11000,-130,-2130
"",25-Oct-21,43,31525,29575,43062,29862,5589,11000,287,-1713
"",01-Nov-21,44,31435,29066,42613,29413,6038,11000,347,-1653
"",08-Nov-21,45,31408,29038,43109,29909,5542,11000,870,-1130
"",15-Nov-21,46,31522,29153,42605,29405,6046,11000,252,-1748
"",22-Nov-21,47,31379,29010,41405,28205,7246,11000,-806,-2806
"",29-Nov-21,48,31027,28674,41864,28664,6787,11000,-11,-2011
"",06-Dec-21,49,31147,28807,41302,28102,7349,11000,-705,-2705
"",13-Dec-21,50,30318,27977,40654,27454,7997,11000,-524,-2524
"",20-Dec-21,51,28924,26583,40564,27364,8087,11000,780,-1220
"",27-Dec-21,52,27280,24940,40696,27496,7955,11000,2556,556
"",03-Jan-22,1,29396,26817,41131,27931,7520,11000,1114,-886
"",10-Jan-22,2,30101,27824,40834,27634,7817,11000,-191,-2191
"",17-Jan-22,3,30279,28002,40503,27303,8148,11000,-700,-2700
"",24-Jan-22,4,30216,27940,42101,28901,6550,11000,961,-1039
"",31-Jan-22,5,31053,28896,41987,28787,6664,11000,-110,-2110
"",07-Feb-22,6,31542,29386,42792,29592,5859,11000,206,-1794
"",14-Feb-22,7,31517,29361,43123,29923,5528,11000,562,-1438
"",21-Feb-22,8,31330,29174,43267,30067,5384,11000,893,-1107
"",28-Feb-22,9,31272,29375,43381,30181,5270,11000,806,-1194
"",07-Mar-22,10,31516,29725,43906,30706,4745,11000,981,-1019
"",14-Mar-22,11,31283,29492,43906,30706,4745,11000,1213,-787
"",21-Mar-22,12,30987,29161,43435,30235,5216,11000,1073,-927
"",28-Mar-22,13,31240,29415,44146,30946,4505,11000,1531,-469
