"",,,MW,MW,MW,MW,MW,MW,MW,MW,
"",Week Start,Week,"RSAContractedForecast","ResidualForecast","AvailableDispatchableCapacity","AvailableCapacity (LessOR and UA)","PlannedMaintenance","UnplannedOutageAssumption (UA)","PlannedRisk Level(-13200 MW)","Likely RiskSenario(-15200 MW)",
"",19-Apr-21,16,31499,30373,43081,29881,6510,11000,-492,-2492,
"",26-Apr-21,17,30774,29664,42598,29398,6993,11000,-266,-2266,
"",03-May-21,18,31669,30620,44427,31227,5164,11000,606,-1394,
"",10-May-21,19,31701,30653,45403,32203,4188,11000,1550,-450,
"",17-May-21,20,31793,30745,45728,32528,3863,11000,1783,-217,
"",24-May-21,21,32488,31439,45578,32378,4013,11000,938,-1062,
"",31-May-21,22,32262,31214,45950,32750,3641,11000,1536,-464,
"",07-Jun-21,23,32059,30897,45188,31988,4403,11000,1090,-910,
"",14-Jun-21,24,32135,30973,45188,31988,4403,11000,1014,-986,
"",21-Jun-21,25,32423,31261,46760,33560,2831,11000,2298,298,
"",28-Jun-21,26,32521,31359,46860,33660,2731,11000,2300,300,
"",05-Jul-21,27,32883,31678,46670,33470,2921,11000,1791,-209,
"",12-Jul-21,28,32895,31690,46670,33470,2921,11000,1779,-221,
"",19-Jul-21,29,34013,32808,47001,33801,2590,11000,993,-1007,
"",26-Jul-21,30,33906,32701,46670,33470,2921,11000,768,-1232,
"",02-Aug-21,31,33119,31572,45500,32300,4091,11000,727,-1273,
"",09-Aug-21,32,32535,30988,45310,32110,4281,11000,1121,-879,
"",16-Aug-21,33,32388,30841,45099,31899,4492,11000,1057,-943,
"",23-Aug-21,34,31882,30335,44659,31459,4932,11000,1124,-876,
"",30-Aug-21,35,32141,30594,44814,31614,4777,11000,1019,-981,
"",06-Sep-21,36,31921,30317,44779,31579,4812,11000,1261,-739,
"",13-Sep-21,37,31832,30228,44204,31004,5387,11000,775,-1225,
"",20-Sep-21,38,31721,30117,44204,31004,5387,11000,887,-1113,
"",27-Sep-21,39,31498,29895,43999,30799,5592,11000,904,-1096,
"",04-Oct-21,40,32009,30007,43904,30704,5687,11000,696,-1304,
"",11-Oct-21,41,31732,29782,43774,30574,5817,11000,792,-1208,
"",18-Oct-21,42,31714,29763,43774,30574,5817,11000,810,-1190,
"",25-Oct-21,43,31525,29575,44002,30802,5589,11000,1227,-773,
"",01-Nov-21,44,31435,29066,43062,29862,6529,11000,796,-1204,
"",08-Nov-21,45,31408,29038,43464,30264,6127,11000,1225,-775,
"",15-Nov-21,46,31522,29153,42960,29760,6631,11000,607,-1393,
"",22-Nov-21,47,31379,29010,42345,29145,7246,11000,134,-1866,
"",29-Nov-21,48,31027,28674,42804,29604,6787,11000,929,-1071,
"",06-Dec-21,49,31147,28807,42827,29627,6764,11000,820,-1180,
"",13-Dec-21,50,30318,27977,42179,28979,7412,11000,1001,-999,
"",20-Dec-21,51,28924,26583,41514,28314,8077,11000,1730,-270,
"",27-Dec-21,52,27280,24940,41636,28436,7955,11000,3496,1496,
"",03-Jan-22,1,29396,26817,41431,28231,8160,11000,1414,-586,
"",10-Jan-22,2,30101,27824,41774,28574,7817,11000,749,-1251,
"",17-Jan-22,3,30279,28002,41443,28243,8148,11000,240,-1760,
"",24-Jan-22,4,30216,27940,43681,30481,5910,11000,2541,541,
"",31-Jan-22,5,31053,28896,42927,29727,6664,11000,830,-1170,
"",07-Feb-22,6,31542,29386,43732,30532,5859,11000,1146,-854,
"",14-Feb-22,7,31517,29361,44063,30863,5528,11000,1502,-498,
"",21-Feb-22,8,31330,29174,44207,31007,5384,11000,1833,-167,
"",28-Feb-22,9,31272,29375,44321,31121,5270,11000,1746,-254,
"",07-Mar-22,10,31528,29725,44846,31646,4745,11000,1921,-79,
"",14-Mar-22,11,31342,29492,44846,31646,4745,11000,2153,153,
"",21-Mar-22,12,31144,29161,44375,31175,5216,11000,2013,13,
"",28-Mar-22,13,31398,29415,45086,31886,4505,11000,2471,471,
"",04-Apr-22,14,31778,30416,45183,31983,4408,11000,1567,-433,
"",11-Apr-22,15,32207,30845,43975,30775,5616,11000,-70,-2070,
"",18-Apr-22,16,32460,31098,42750,29550,6841,11000,-1549,-3549,
"",25-Apr-22,17,32036,30674,43365,30165,6226,11000,-510,-2510,
