"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-17200 MW),(-19200 MW)
26-Jun-23 26,32540,31540,46415,29215,2776,15000,-2325,-4325
03-Jul-23 27,32315,30851,46355,29155,2836,15000,-1696,-3696
10-Jul-23 28,32599,31108,46457,29257,2734,15000,-1851,-3851
17-Jul-23 29,32782,31291,47630,30430,1561,15000,-862,-2862
24-Jul-23 30,32808,31317,46949,29749,2242,15000,-1568,-3568
31-Jul-23 31,32471,30778,46949,29749,2242,15000,-1030,-3030
07-Aug-23 32,32269,30576,46040,28840,3151,15000,-1736,-3736
14-Aug-23 33,31835,30141,45425,28225,3766,15000,-1917,-3917
21-Aug-23 34,31624,29945,45664,28464,3527,15000,-1482,-3482
28-Aug-23 35,31392,29713,45597,28397,3594,15000,-1316,-3316
04-Sep-23 36,31586,29899,45701,28501,3490,15000,-1399,-3399
11-Sep-23 37,31764,30077,45769,28569,3422,15000,-1508,-3508
18-Sep-23 38,31398,29711,45826,28626,3365,15000,-1085,-3085
25-Sep-23 39,31623,29936,44887,27687,4304,15000,-2250,-4250
02-Oct-23 40,31635,29659,44862,27662,4329,15000,-1997,-3997
09-Oct-23 41,31372,29395,44913,27713,4278,15000,-1682,-3682
16-Oct-23 42,31286,29309,45581,28381,3610,15000,-929,-2929
23-Oct-23 43,30991,29015,45406,28206,3785,15000,-809,-2809
30-Oct-23 44,30837,28860,44133,26933,5058,15000,-1928,-3928
06-Nov-23 45,30480,28381,44140,28940,5051,13000,559,-1441
13-Nov-23 46,30439,28371,43992,28792,5199,13000,421,-1579
20-Nov-23 47,30288,28220,43774,26574,5417,15000,-1647,-3647
27-Nov-23 48,30059,27991,42837,25637,6354,15000,-2354,-4354
04-Dec-23 49,30063,27880,42692,27492,6499,13000,-389,-2389
11-Dec-23 50,30109,27927,42297,27097,6894,13000,-830,-2830
18-Dec-23 51,28935,26752,42668,27468,6523,13000,716,-1284
25-Dec-23 52,26312,24130,39608,24408,9583,13000,278,-1722
01-Jan-24 1,27780,25636,39958,24758,9233,13000,-878,-2878
08-Jan-24 2,29422,27278,41857,26657,7334,13000,-622,-2622
15-Jan-24 3,29883,27739,42580,27380,6611,13000,-359,-2359
22-Jan-24 4,30203,28059,42432,27232,6759,13000,-828,-2828
29-Jan-24 5,30358,28214,43152,27952,6039,13000,-262,-2262
05-Feb-24 6,30700,28610,43998,28798,5193,13000,188,-1812
12-Feb-24 7,30793,28704,44145,28945,5046,13000,241,-1759
19-Feb-24 8,30724,28635,43030,27830,6161,13000,-805,-2805
26-Feb-24 9,30567,28477,43030,27830,6161,13000,-647,-2647
04-Mar-24 10,30918,28958,43693,28493,5498,13000,-466,-2466
11-Mar-24 11,30966,29006,43913,28713,5278,13000,-293,-2293
18-Mar-24 12,30790,28807,44008,28808,5183,13000,1,-1999
25-Mar-24 13,30764,28719,43592,28392,5599,13000,-327,-2327
01-Apr-24 14,31151,29620,45047,29847,4144,13000,226,-1774
08-Apr-24 15,31666,30135,44327,29127,4864,13000,-1008,-3008
15-Apr-24 16,32015,30483,45136,29936,4055,13000,-548,-2548
22-Apr-24 17,32400,30869,44961,29761,4230,13000,-1108,-3108
29-Apr-24 18,32215,30877,45723,30523,3468,13000,-354,-2354
06-May-24 19,33020,31695,46316,31116,2875,13000,-579,-2579
13-May-24 20,33663,32338,46491,31291,2700,13000,-1047,-3047
20-May-24 21,33932,32607,47211,32011,1980,13000,-596,-2596
27-May-24 22,34457,33131,47179,31979,2012,13000,-1153,-3153
03-Jun-24 23,33782,32501,47179,31979,2012,13000,-523,-2523
10-Jun-24 24,33891,32610,47179,31979,2012,13000,-631,-2631
17-Jun-24 25,33785,32504,47754,32554,1437,13000,49,-1951
24-Jun-24 26,33998,32717,47607,32407,1584,13000,-310,-2310
01-Jul-24 27,33790,32299,47267,32067,1924,13000,-233,-2233
